"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
1881610|"31092076"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMCRAKR"|http://www.vishay.com/docs/22202/wyo.pdf
5066375|"31092078"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMDRUKR"|http://www.vishay.com/docs/22202/wyo.pdf
3885992|"31092081"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMKSRKR"|http://www.vishay.com/docs/22202/wyo.pdf
3710299|"31092082"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMPC0KR"|http://www.vishay.com/docs/22202/wyo.pdf
3534056|"31092083"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMPJ0KR"|http://www.vishay.com/docs/22202/wyo.pdf
5000630|"31092085"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMQA0KR"|http://www.vishay.com/docs/22202/wyo.pdf
2572481|"31092088"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMSAFKR"|http://www.vishay.com/docs/22202/wyo.pdf
2408553|"31092089"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMSDEKR"|http://www.vishay.com/docs/22202/wyo.pdf
5069648|"31092094"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMTARKR"|http://www.vishay.com/docs/22202/wyo.pdf
4294851|"31092095"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO102MCMUARKR"|http://www.vishay.com/docs/22202/wyo.pdf
3888684|"31092097"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO103MCMCRZKR"|http://www.vishay.com/docs/22202/wyo.pdf
3714822|"31092098"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO103MCMDF0KR"|http://www.vishay.com/docs/22202/wyo.pdf
5002598|"31092101"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO122MCMBF0KR"|http://www.vishay.com/docs/22202/wyo.pdf
4947905|"31092102"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO123MCMCRUKR"|http://www.vishay.com/docs/22202/wyo.pdf
2411617|"31092105"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO152MCMBLAKR"|http://www.vishay.com/docs/22202/wyo.pdf
2067512|"31092107"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO152MCMBRAKR"|http://www.vishay.com/docs/22202/wyo.pdf
5071478|"31092110"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO152MCMCF0KR"|http://www.vishay.com/docs/22202/wyo.pdf
4298889|"31092111"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO152MCMSPDKR"|http://www.vishay.com/docs/22202/wyo.pdf
3893384|"31092113"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO182MCMBLAKR"|http://www.vishay.com/docs/22202/wyo.pdf
4525340|"31092116"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMBD0KR"|http://www.vishay.com/docs/22202/wyo.pdf
4948817|"31092118"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMBLAK"|http://www.vishay.com/docs/22202/wyo.pdf
2415018|"31092121"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMBLCKR"|http://www.vishay.com/docs/22202/wyo.pdf
5073189|"31092126"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMBRCKR"|http://www.vishay.com/docs/22202/wyo.pdf
3721984|"31092130"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMCRAKR"|http://www.vishay.com/docs/22202/wyo.pdf
3545301|"31092131"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMCRBKR"|http://www.vishay.com/docs/22202/wyo.pdf
5004817|"31092133"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMDF0KR"|http://www.vishay.com/docs/22202/wyo.pdf
4950485|"31092134"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMDRYKR"|http://www.vishay.com/docs/22202/wyo.pdf
2074891|"31092139"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMQA0KR"|http://www.vishay.com/docs/22202/wyo.pdf
3157315|"31092141"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMSAEKR"|http://www.vishay.com/docs/22202/wyo.pdf
4063653|"31092144"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMUARKR"|http://www.vishay.com/docs/22202/wyo.pdf
3546810|"31092147"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO222MCMYCRKR"|http://www.vishay.com/docs/22202/wyo.pdf
4532783|"31092148"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMBB0KR"|http://www.vishay.com/docs/22202/wyo.pdf
4952087|"31092150"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMBLAKR"|http://www.vishay.com/docs/22202/wyo.pdf
2258192|"31092154"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMBRAKR"|http://www.vishay.com/docs/22202/wyo.pdf
3159412|"31092157"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMCF0KR"|http://www.vishay.com/docs/22202/wyo.pdf
5076569|"31092158"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMCRAKR"|http://www.vishay.com/docs/22202/wyo.pdf
4535504|"31092164"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMQA0KR"|http://www.vishay.com/docs/22202/wyo.pdf
5006827|"31092165"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMSAYKR"|http://www.vishay.com/docs/22202/wyo.pdf
4953417|"31092166"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMSCZKR"|http://www.vishay.com/docs/22202/wyo.pdf
2780161|"31092167"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMSNUKR"|http://www.vishay.com/docs/22202/wyo.pdf
2590489|"31092168"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO252MCMSVCKR"|http://www.vishay.com/docs/22202/wyo.pdf
4068494|"31092176"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMCB0KR"|http://www.vishay.com/docs/22202/wyo.pdf
3904792|"31092177"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMCLAKR"|http://www.vishay.com/docs/22202/wyo.pdf
3554166|"31092179"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMCRAKR"|http://www.vishay.com/docs/22202/wyo.pdf
4537675|"31092180"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMCRCKR"|http://www.vishay.com/docs/22202/wyo.pdf
4954309|"31092182"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMDRUKR"|http://www.vishay.com/docs/22202/wyo.pdf
2785657|"31092183"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMDRZKR"|http://www.vishay.com/docs/22202/wyo.pdf
2264601|"31092186"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMSTAKR"|http://www.vishay.com/docs/22202/wyo.pdf
2083595|"31092187"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMSVXKR"|http://www.vishay.com/docs/22202/wyo.pdf
1907289|"31092188"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO332MCMTARKR"|http://www.vishay.com/docs/22202/wyo.pdf
4313654|"31092191"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472KCMCF0KR"|http://www.vishay.com/docs/22202/wyo.pdf
3910618|"31092193"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMBLAKR"|http://www.vishay.com/docs/22202/wyo.pdf
4955129|"31092198"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMCLAKR"|http://www.vishay.com/docs/22202/wyo.pdf
2786483|"31092199"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMCRAKR"|http://www.vishay.com/docs/22202/wyo.pdf
2596908|"31092200"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMCRBKR"|http://www.vishay.com/docs/22202/wyo.pdf
5082244|"31092206"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMDRUKR"|http://www.vishay.com/docs/22202/wyo.pdf
4317877|"31092207"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMDRYKR"|http://www.vishay.com/docs/22202/wyo.pdf
4076668|"31092208"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMEF0KR"|http://www.vishay.com/docs/22202/wyo.pdf
3740150|"31092210"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMKGGKR"|http://www.vishay.com/docs/22202/wyo.pdf
3563102|"31092211"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMLA0KR"|http://www.vishay.com/docs/22202/wyo.pdf
4545065|"31092212"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMQC0KR"|http://www.vishay.com/docs/22202/wyo.pdf
4957011|"31092214"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMSDFKR"|http://www.vishay.com/docs/22202/wyo.pdf
2271754|"31092218"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO472MCMUARKR"|http://www.vishay.com/docs/22202/wyo.pdf
3174820|"31092221"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO502MCMCFGKR"|http://www.vishay.com/docs/22202/wyo.pdf
5083275|"31092222"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO502MCMCJ0KR"|http://www.vishay.com/docs/22202/wyo.pdf
4321523|"31092223"|"440|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WYO502MCMCLAKR"|http://www.vishay.com/docs/22202/wyo.pdf
