"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
3197504|"28771546"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1210CC333KAJ1A"|http://www.avx.com/docs/Catalogs/cauto.pdf
3535450|"28771552"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC681KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3375713|"28771553"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA471KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3201998|"28771562"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA390MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5075757|"28771571"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"3640CA102MAT9A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4826263|"28771573"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"3640CA473MA13A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4827873|"28771589"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC102JAT9A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3209719|"28771594"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CA103KAJ1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
3869214|"28771823"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC103KAJ1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
3603075|"28771840"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CA271KAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
2390331|"28772039"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC102KAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2187431|"28772040"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA330MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3922250|"28772047"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CA103KAJ3A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
2648760|"28771517"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC332MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3893710|"28771518"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1210CC223KAZ1A"|http://www.avx.com/docs/Catalogs/cauto.pdf
3899222|"28771550"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC103JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3805704|"28771551"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA332JAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3904356|"28771566"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2220CC224KAJ1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3378437|"28771569"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CA222MAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3382066|"28771585"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC100JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2117362|"28771752"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CA121KAT2A"|https://www.avx.com/docs/catalogs/cx5r.pdf
1770576|"28771786"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC473JAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
3862902|"28771791"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CA470JAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
2340964|"28771815"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA101JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2131541|"28771816"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA332KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5105268|"28771827"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC472MAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4358655|"28771844"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CC103MA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5128107|"28772019"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC220KAT1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
4805789|"28772038"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC681KAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3929908|"28772079"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA100KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3491085|"28772081"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA560KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4877052|"28772197"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC102MAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3529761|"28772257"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC102KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3972154|"28772271"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2220CA102KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3707312|"28772272"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CC221KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3375054|"28772290"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC102KA19A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3196263|"28772299"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC471KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2077984|"28772313"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC562KAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
4441898|"28772484"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1210CC333MAT1A"|http://www.avx.com/docs/Catalogs/cauto.pdf
2137313|"28772553"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC332KAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3269328|"28772563"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC472KAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3326336|"28772082"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC102MAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2426177|"28772199"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC563KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3365561|"28772258"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC102JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4408779|"28772260"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA271KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2439456|"28772263"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC103KAZ1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5160909|"28772291"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC471KAT3A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4884372|"28772293"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CA561JAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
2447458|"28772295"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC104KAJ1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3018273|"28772300"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC473KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3377842|"28772306"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC222KAZ1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4115423|"28772526"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC102MAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
4025936|"28772527"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC471KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3770344|"28772528"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CC224JA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2305712|"28772552"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CA470JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2872984|"28772557"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC472KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3433209|"28772562"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1812CC222JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2533558|"28772695"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC562MAJ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
3811805|"28772704"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC682KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
4867334|"28772790"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CA221KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3132809|"28772812"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC272KAJ1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
4935504|"28772933"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1210CC153KA11A"|http://www.avx.com/docs/Catalogs/cauto.pdf
3529076|"28772994"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC154KAJ1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
4220867|"28773022"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CA560JAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3460174|"28772690"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CA511KAT1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
4169566|"28772782"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CA511JAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
2552601|"28772791"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CC224KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2593475|"28772983"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC391KAZ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
3366589|"28772995"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC154MAT3A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
4884654|"28772998"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2220CC222KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
2407302|"28773016"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC222KAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
2244435|"28773017"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1825CC472KAT1A"|http://www.avxcorp.com/docs/Catalogs/ccog.pdf
4901603|"28773206"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC102KAJ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
3416226|"28773219"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC392KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3811692|"28773441"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1210CC222KA11A"|http://www.avx.com/docs/Catalogs/cauto.pdf
4458697|"28773444"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CA511JAT1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
1989703|"28773451"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC153KA11A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5054624|"28773646"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC102MA11A"|https://www.avx.com/docs/catalogs/cx5r.pdf
4025021|"28773648"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CA271JAJ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
